data_date;individuals
24/02/2022;79982
25/02/2022;180950
26/02/2022;324059
27/02/2022;491603
28/02/2022;653356
01/03/2022;819228
02/03/2022;989500
03/03/2022;1173321
04/03/2022;1343402
05/03/2022;1540168
06/03/2022;1742688
07/03/2022;1948181
08/03/2022;2130351
09/03/2022;2298833
10/03/2022;2431450
11/03/2022;2550041
12/03/2022;2664171
13/03/2022;2788814
14/03/2022;2899770
15/03/2022;3007348
16/03/2022;3108615
17/03/2022;3192641
18/03/2022;3271682
19/03/2022;3344825
20/03/2022;3404588
21/03/2022;3463658
22/03/2022;3528369
23/03/2022;3590977
24/03/2022;3658174
25/03/2022;3720662
26/03/2022;3781632
27/03/2022;3838235
28/03/2022;3886797
29/03/2022;3929722
30/03/2022;3981663
31/03/2022;4035282
01/04/2022;4083925
02/04/2022;4134916
03/04/2022;4184780
04/04/2022;4230021
05/04/2022;4279745
06/04/2022;4335448
07/04/2022;4391444
08/04/2022;4450976
09/04/2022;4513649
10/04/2022;4570673
11/04/2022;4624958
12/04/2022;4680684
13/04/2022;4737174
14/04/2022;4796373
15/04/2022;4851113
16/04/2022;4896790
17/04/2022;4935863
18/04/2022;4980981
19/04/2022;5035163
20/04/2022;5085875
21/04/2022;5134785
22/04/2022;5177539
23/04/2022;5213695
24/04/2022;5236556
25/04/2022;5268979
26/04/2022;5318063
27/04/2022;5373258
28/04/2022;5430257
29/04/2022;5483323
30/04/2022;5536935
01/05/2022;5577656
02/05/2022;5615108
03/05/2022;5657584
04/05/2022;5708254
05/05/2022;5757396
06/05/2022;5809349
07/05/2022;5864422
08/05/2022;5911554
09/05/2022;5943635
10/05/2022;5981357
11/05/2022;6029704
12/05/2022;6080238
13/05/2022;6128549
14/05/2022;6175906
15/05/2022;6223820
16/05/2022;6266843
17/05/2022;6312255
18/05/2022;6361116
19/05/2022;6409355
20/05/2022;6444009
