date,sentiment,emotion
2022-02-15,negative,anger
2022-02-16,negative,fear
2022-02-17,negative,anger
2022-02-18,negative,anger
2022-02-19,neutral,disgust
2022-02-20,negative,fear
2022-02-21,negative,anger
2022-02-22,neutral,neutral
2022-02-23,neutral,neutral
2022-02-24,neutral,disgust
2022-02-25,neutral,neutral
2022-02-26,neutral,neutral
2022-02-27,negative,fear
2022-02-28,negative,sadness
2022-03-01,negative,anger
2022-03-02,negative,fear
2022-03-03,negative,fear
2022-03-04,neutral,neutral
2022-03-05,negative,fear
2022-03-06,neutral,disgust
2022-03-07,neutral,neutral
2022-03-08,neutral,disgust
2022-03-09,negative,fear
2022-03-10,negative,anger
2022-03-11,negative,anger
2022-03-12,neutral,neutral
2022-03-13,negative,fear
2022-03-14,negative,anger
2022-03-15,negative,anger
2022-03-16,neutral,neutral
2022-03-17,negative,anger
2022-03-18,negative,fear
2022-03-19,negative,anger
2022-03-20,negative,fear
2022-03-21,negative,anger
2022-03-22,negative,sadness
2022-03-23,negative,anger
2022-03-24,neutral,disgust
2022-03-25,negative,anger
2022-03-26,negative,anger
2022-03-27,neutral,neutral
2022-03-28,negative,sadness
2022-03-29,negative,sadness
2022-03-30,negative,anger
2022-03-31,negative,sadness
2022-04-01,negative,sadness
2022-04-02,negative,sadness
2022-04-03,negative,anger
2022-04-04,negative,fear
2022-04-05,negative,anger
2022-04-06,negative,anger
2022-04-07,negative,sadness
2022-04-08,neutral,disgust
2022-04-09,negative,sadness
2022-04-10,negative,anger
2022-04-11,neutral,neutral
2022-04-12,negative,fear
2022-04-13,negative,sadness
2022-04-14,neutral,disgust
2022-04-15,negative,anger
2022-04-16,neutral,disgust
2022-04-17,negative,sadness
2022-04-18,positive,joy
2022-04-19,positive,joy
2022-04-20,negative,sadness
2022-04-21,negative,sadness
2022-04-22,neutral,surprise
2022-04-23,neutral,neutral
2022-04-24,negative,anger
2022-04-25,negative,fear
2022-04-26,negative,anger
2022-04-27,negative,fear
2022-04-28,neutral,surprise
2022-04-29,negative,anger
2022-04-30,neutral,neutral
2022-05-01,neutral,disgust
2022-05-02,negative,anger
2022-05-03,neutral,neutral
2022-05-04,negative,sadness
2022-05-05,neutral,disgust
2022-05-06,negative,fear
2022-05-07,neutral,disgust
2022-05-08,neutral,disgust
2022-05-09,neutral,disgust
2022-05-10,negative,sadness
2022-05-11,neutral,disgust
2022-05-12,negative,anger
2022-05-13,negative,anger
2022-05-14,negative,anger
2022-05-15,negative,fear
2022-05-16,neutral,disgust
2022-05-17,neutral,disgust
2022-05-18,negative,sadness
2022-05-19,neutral,disgust
2022-05-20,negative,sadness
2022-05-21,positive,joy
2022-05-22,negative,anger
2022-05-23,neutral,disgust
2022-05-24,negative,fear
