Date,Price
2022-01-03,3.74
2022-01-04,3.73
2022-01-05,3.78
2022-01-06,3.94
2022-01-07,3.83
2022-01-10,4.16
2022-01-11,4.16
2022-01-12,4.62
2022-01-13,4.78
2022-01-14,4.37
2022-01-18,4.55
2022-01-19,4.89
2022-01-20,4.45
2022-01-21,4.11
2022-01-24,4.2
2022-01-25,4.24
2022-01-26,4.43
2022-01-27,4.43
2022-01-28,5.69
2022-01-31,5.56
2022-02-01,5.45
2022-02-02,6.7
2022-02-03,5.84
2022-02-04,5.34
2022-02-07,4.44
2022-02-08,4.3
2022-02-09,4.13
2022-02-10,4.03
2022-02-11,4.04
2022-02-14,4.05
2022-02-15,4.31
2022-02-16,4.39
2022-02-17,4.57
2022-02-18,4.61
2022-02-22,4.48
2022-02-23,4.59
2022-02-24,4.78
2022-02-25,4.63
2022-02-28,4.46
2022-03-01,4.36
2022-03-02,4.65
2022-03-03,4.63
2022-03-04,4.74
2022-03-07,4.93
2022-03-08,4.61
2022-03-09,4.55
2022-03-10,4.65
2022-03-11,4.79
2022-03-14,4.59
2022-03-15,4.46
2022-03-16,4.68
2022-03-17,4.8
2022-03-18,4.87
2022-03-21,4.77
2022-03-22,5
2022-03-23,5.26
2022-03-24,5.19
2022-03-25,5.51
2022-03-28,5.52
2022-03-29,5.32
2022-03-30,5.32
2022-03-31,5.46
2022-04-01,5.43
2022-04-04,5.72
2022-04-05,5.95
2022-04-06,6.29
2022-04-07,6.05
2022-04-08,6.38
2022-04-11,6.35
2022-04-12,6.59
2022-04-13,6.68
2022-04-14,6.94
2022-04-18,7.48
2022-04-19,7.44
2022-04-20,7.12
2022-04-21,6.88
2022-04-22,6.59
2022-04-25,6.42
2022-04-26,6.89
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
